freq,noise_mean,gain
0.0,0.0,1.0
293040.29304029304,0.0,1.0061372674239382
586080.5860805861,0.0,1.0122736101465233
879120.8791208791,0.0,1.018408103605727
1172161.172161172,0.0,1.0245398235181498
1465201.4652014652,0.0,1.030667846018281
1758241.7582417582,0.0,1.0367912477976997
2051282.0512820515,0.0,1.0429091062441875
2344322.3443223443,0.0,1.0490204995807402
2637362.6373626376,0.0,1.0551245070044504
2930402.9304029304,0.0,1.0612202088252451
3223443.223443223,0.0,1.0673066866044565
3516483.5164835164,0.0,1.073383023293201
3809523.8095238097,0.0,1.0794483033705515
4102564.102564103,0.0,1.0855016129814814
4395604.395604395,0.0,1.0915420400745506
4688644.688644689,0.0,1.0975686745393276
4981684.981684982,0.0,1.1035806083435142
5274725.274725275,0.0,1.109576935669759
5567765.567765567,0.0,1.1155567530521364
5860805.860805861,0.0,1.121519159512273
6153846.153846154,0.0,1.1274632566950966
6446886.446886446,0.0,1.133388149004191
6739926.73992674,0.0,1.139292943736737
7032967.032967033,0.0,1.1451767512180142
7326007.326007326,0.0,1.1510386849354488
7619047.619047619,0.0,1.156877861672185
7912087.912087912,0.0,1.1626934016401584
8205128.205128205,0.0,1.1684844286126534
8498168.498168498,0.0,1.1742500700563243
8791208.79120879,0.0,1.1799894572626612
9084249.084249085,0.0,1.1857017254788755
9377289.377289375,0.0,1.1913860140381949
9670329.67032967,0.0,1.1970414664895377
9963369.963369964,0.0,1.2026672307265551
10256410.256410256,0.0,1.2082624591160198
10549450.54945055,0.0,1.213826308625535
10842490.842490844,0.0,1.2193579409505566
11135531.135531137,0.0,1.2248565226407
11428571.42857143,0.0,1.2303212252253162
11721611.72161172,0.0,1.2357512253383165
12014652.014652014,0.0,1.2411457048422287
12307692.307692308,0.0,1.2465038509514688
12600732.6007326,0.0,1.251824856354799
12893772.893772893,0.0,1.2571079193369676
13186813.186813189,0.0,1.262352243899504
13479853.47985348,0.0,1.2675570398806495
13772893.772893772,0.0,1.2727215230744129
14065934.065934066,0.0,1.2778449153487252
14358974.358974358,0.0,1.282926444762682
14652014.652014652,0.0,1.2879653456828506
14945054.945054945,0.0,1.2929608588986286
15238095.23809524,0.0,1.2979122317366336
15531135.531135531,0.0,1.302818718174109
15824175.824175823,0.0,1.3076795789513271
16117216.117216118,0.0,1.3124940816829724
16410256.41025641,0.0,1.3172615009684905
16703296.703296702,0.0,1.3219811185013848
16996336.996336997,0.0,1.3266522231774431
17289377.28937729,0.0,1.3312741112018789
17582417.58241758,0.0,1.3358460861953736
17875457.875457875,0.0,1.340367459298998
18168498.16849817,0.0,1.344837549278005
18461538.46153846,0.0,1.3492556826244684
18754578.754578754,0.0,1.3536211936587628
19047619.04761905,0.0,1.357933424629859
19340659.34065934,0.0,1.3621917258144305
19633699.63369964,0.0,1.366395455614743
19926739.926739927,0.0,1.3705439806553283
20219780.219780218,0.0,1.3746366758784114
20512820.512820512,0.0,1.37867292463809
20805860.805860806,0.0,1.382652118793243
21098901.0989011,0.0,1.3865736587991606
21391941.39194139,0.0,1.3904369537978765
21684981.684981685,0.0,1.394241421707192
21978021.97802198,0.0,1.3979864893083809
22271062.27106227,0.0,1.4016715923325516
22564102.564102564,0.0,1.4052961755456703
22857142.85714286,0.0,1.4088596928322157
23150183.15018315,0.0,1.4123616072774614
23443223.443223443,0.0,1.415801391248375
23736263.736263737,0.0,1.4191785264731136
24029304.029304028,0.0,1.4224925041191154
24322344.32234432,0.0,1.4257428248697623
24615384.615384616,0.0,1.4289289989996132
24908424.908424903,0.0,1.432050546448191
25201465.2014652,0.0,1.435106996892313
25494505.49450549,0.0,1.4380978898169536
25787545.787545785,0.0,1.441022774584632
26080586.08058608,0.0,1.443881210503308
26373626.373626374,0.0,1.4466727668927817
26666666.666666668,0.0,1.4493970231495834
26959706.95970696,0.0,1.4520535688103475
27252747.252747253,0.0,1.454642003613655
27545787.545787547,0.0,1.4571619375603415
27838827.83882784,0.0,1.4596129909722593
28131868.13186813,0.0,1.4619947945494822
28424908.424908426,0.0,1.4643069894259484
28717948.71794872,0.0,1.466549227223531
29010989.01098901,0.0,1.4687211701045275
29304029.304029305,0.0,1.4708224908225622
29597069.597069595,0.0,1.4728528727718926
29890109.89010989,0.0,1.474812010035112
30183150.183150183,0.0,1.4766996074292411
30476190.47619048,0.0,1.4785153805502065
30769230.769230768,0.0,1.480259055815686
31062271.062271062,0.0,1.4819303705063365
31355311.35531136,0.0,1.4835290728053712
31648351.648351647,0.0,1.4850549218365052
31941391.94139194,0.0,1.4865076877002463
32234432.234432235,0.0,1.4878871515085352
32527472.52747253,0.0,1.489193105417723
32820512.82051282,0.0,1.49042535265989
33113553.113553114,0.0,1.4915837075724907
33406593.406593405,0.0,1.492667995626328
33699633.6996337,0.0,1.49367805345185
33992673.99267399,0.0,1.4946137288637642
34285714.28571428,0.0,1.4954748808839673
34578754.57875458,0.0,1.4962613797627873
34871794.87179487,0.0,1.496973106998531
35164835.16483516,0.0,1.497609955355341
35457875.45787546,0.0,1.498171828879351
35750915.75091575,0.0,1.4986586429131437
36043956.04395604,0.0,1.4990703241085068
36336996.33699634,0.0,1.4994068104374834
36630036.63003663,0.0,1.4996680512017182
